hour,processes,electromobility,heating,occupancy,servers,hot_water,cooling,lighting,appliances
Weekday_00,0.0,0.0,SETBACK,1.0,0.0,0.08,SETBACK,0.1,0.1
Weekday_01,0.0,0.0,SETBACK,1.0,0.0,0.04,SETBACK,0.1,0.1
Weekday_02,0.0,0.0,SETBACK,1.0,0.0,0.01,SETBACK,0.1,0.1
Weekday_03,0.0,0.0,SETBACK,1.0,0.0,0.01,SETBACK,0.1,0.1
Weekday_04,0.0,0.0,SETBACK,1.0,0.0,0.02,SETBACK,0.1,0.1
Weekday_05,0.0,0.0,SETBACK,1.0,0.0,0.38,SETBACK,0.2,0.2
Weekday_06,0.0,0.0,SETPOINT,0.6,0.0,1.0,SETPOINT,0.8,0.8
Weekday_07,0.0,0.0,SETPOINT,0.4,0.0,0.81,SETPOINT,0.2,0.2
Weekday_08,0.0,0.0,SETPOINT,0.0,0.0,0.67,SETPOINT,0.1,0.1
Weekday_09,0.0,0.0,SETPOINT,0.0,0.0,0.51,SETPOINT,0.1,0.1
Weekday_10,0.0,0.0,SETPOINT,0.0,0.0,0.45,SETPOINT,0.1,0.1
Weekday_11,0.0,0.0,SETPOINT,0.0,0.0,0.42,SETPOINT,0.1,0.1
Weekday_12,0.0,0.0,SETPOINT,0.8,0.0,0.63,SETPOINT,0.8,0.8
Weekday_13,0.0,0.0,SETPOINT,0.4,0.0,0.56,SETPOINT,0.2,0.2
Weekday_14,0.0,0.0,SETPOINT,0.0,0.0,0.32,SETPOINT,0.1,0.1
Weekday_15,0.0,0.0,SETPOINT,0.0,0.0,0.28,SETPOINT,0.1,0.1
Weekday_16,0.0,0.0,SETPOINT,0.0,0.0,0.32,SETPOINT,0.1,0.1
Weekday_17,0.0,0.0,SETPOINT,0.4,0.0,0.56,SETPOINT,0.2,0.2
Weekday_18,0.0,0.0,SETPOINT,0.8,0.0,0.79,SETPOINT,0.8,0.8
Weekday_19,0.0,0.0,SETPOINT,0.8,0.0,0.8,SETPOINT,1.0,1.0
Weekday_20,0.0,0.0,SETPOINT,0.8,0.0,0.62,SETPOINT,0.2,0.2
Weekday_21,0.0,0.0,SETBACK,1.0,0.0,0.45,SETBACK,0.2,0.2
Weekday_22,0.0,0.0,SETBACK,1.0,0.0,0.25,SETBACK,0.2,0.2
Weekday_23,0.0,0.0,SETBACK,1.0,0.0,0.19,SETBACK,0.1,0.1
Saturday_00,0.0,0.0,SETBACK,1.0,0.0,0.09,SETBACK,0.1,0.1
Saturday_01,0.0,0.0,SETBACK,1.0,0.0,0.1,SETBACK,0.1,0.1
Saturday_02,0.0,0.0,SETBACK,1.0,0.0,0.06,SETBACK,0.1,0.1
Saturday_03,0.0,0.0,SETBACK,1.0,0.0,0.02,SETBACK,0.1,0.1
Saturday_04,0.0,0.0,SETBACK,1.0,0.0,0.02,SETBACK,0.1,0.1
Saturday_05,0.0,0.0,SETBACK,1.0,0.0,0.12,SETBACK,0.2,0.2
Saturday_06,0.0,0.0,SETPOINT,0.6,0.0,0.33,SETPOINT,0.8,0.8
Saturday_07,0.0,0.0,SETPOINT,0.4,0.0,0.56,SETPOINT,0.2,0.2
Saturday_08,0.0,0.0,SETPOINT,0.0,0.0,0.91,SETPOINT,0.1,0.1
Saturday_09,0.0,0.0,SETPOINT,0.0,0.0,0.9,SETPOINT,0.1,0.1
Saturday_10,0.0,0.0,SETPOINT,0.0,0.0,0.81,SETPOINT,0.1,0.1
Saturday_11,0.0,0.0,SETPOINT,0.0,0.0,0.87,SETPOINT,0.1,0.1
Saturday_12,0.0,0.0,SETPOINT,0.8,0.0,0.88,SETPOINT,0.8,0.8
Saturday_13,0.0,0.0,SETPOINT,0.4,0.0,0.7,SETPOINT,0.2,0.2
Saturday_14,0.0,0.0,SETPOINT,0.0,0.0,0.56,SETPOINT,0.1,0.1
Saturday_15,0.0,0.0,SETPOINT,0.0,0.0,0.44,SETPOINT,0.1,0.1
Saturday_16,0.0,0.0,SETPOINT,0.0,0.0,0.56,SETPOINT,0.1,0.1
Saturday_17,0.0,0.0,SETPOINT,0.4,0.0,0.72,SETPOINT,0.2,0.2
Saturday_18,0.0,0.0,SETPOINT,0.8,0.0,1.0,SETPOINT,0.8,0.8
Saturday_19,0.0,0.0,SETPOINT,0.8,0.0,0.79,SETPOINT,1.0,1.0
Saturday_20,0.0,0.0,SETPOINT,0.8,0.0,0.44,SETPOINT,0.2,0.2
Saturday_21,0.0,0.0,SETBACK,1.0,0.0,0.43,SETBACK,0.2,0.2
Saturday_22,0.0,0.0,SETBACK,1.0,0.0,0.35,SETBACK,0.2,0.2
Saturday_23,0.0,0.0,SETBACK,1.0,0.0,0.21,SETBACK,0.1,0.1
Sunday_00,0.0,0.0,SETBACK,1.0,0.0,0.11,SETBACK,0.1,0.1
Sunday_01,0.0,0.0,SETBACK,1.0,0.0,0.08,SETBACK,0.1,0.1
Sunday_02,0.0,0.0,SETBACK,1.0,0.0,0.06,SETBACK,0.1,0.1
Sunday_03,0.0,0.0,SETBACK,1.0,0.0,0.02,SETBACK,0.1,0.1
Sunday_04,0.0,0.0,SETBACK,1.0,0.0,0.02,SETBACK,0.1,0.1
Sunday_05,0.0,0.0,SETBACK,1.0,0.0,0.06,SETBACK,0.2,0.2
Sunday_06,0.0,0.0,SETPOINT,0.6,0.0,0.2,SETPOINT,0.8,0.8
Sunday_07,0.0,0.0,SETPOINT,0.4,0.0,0.41,SETPOINT,0.2,0.2
Sunday_08,0.0,0.0,SETPOINT,0.0,0.0,0.65,SETPOINT,0.1,0.1
Sunday_09,0.0,0.0,SETPOINT,0.0,0.0,0.86,SETPOINT,0.1,0.1
Sunday_10,0.0,0.0,SETPOINT,0.0,0.0,0.95,SETPOINT,0.1,0.1
Sunday_11,0.0,0.0,SETPOINT,0.0,0.0,1.0,SETPOINT,0.1,0.1
Sunday_12,0.0,0.0,SETPOINT,0.8,0.0,0.86,SETPOINT,0.8,0.8
Sunday_13,0.0,0.0,SETPOINT,0.4,0.0,0.74,SETPOINT,0.2,0.2
Sunday_14,0.0,0.0,SETPOINT,0.0,0.0,0.58,SETPOINT,0.1,0.1
Sunday_15,0.0,0.0,SETPOINT,0.0,0.0,0.51,SETPOINT,0.1,0.1
Sunday_16,0.0,0.0,SETPOINT,0.0,0.0,0.29,SETPOINT,0.1,0.1
Sunday_17,0.0,0.0,SETPOINT,0.4,0.0,0.55,SETPOINT,0.2,0.2
Sunday_18,0.0,0.0,SETPOINT,0.8,0.0,0.72,SETPOINT,0.8,0.8
Sunday_19,0.0,0.0,SETPOINT,0.8,0.0,0.78,SETPOINT,1.0,1.0
Sunday_20,0.0,0.0,SETPOINT,0.8,0.0,0.4,SETPOINT,0.2,0.2
Sunday_21,0.0,0.0,SETBACK,1.0,0.0,0.37,SETBACK,0.2,0.2
Sunday_22,0.0,0.0,SETBACK,1.0,0.0,0.34,SETBACK,0.2,0.2
Sunday_23,0.0,0.0,SETBACK,1.0,0.0,0.19,SETBACK,0.1,0.1
