name,Af_m2,Aroof_m2,GFA_m2,Aocc_m2,people0,PV_MWhyr,GRID_MWhyr,GRID_a_MWhyr,GRID_l_MWhyr,GRID_v_MWhyr,GRID_ve_MWhyr,GRID_data_MWhyr,GRID_pro_MWhyr,GRID_aux_MWhyr,GRID_ww_MWhyr,GRID_hs_MWhyr,GRID_cs_MWhyr,GRID_cdata_MWhyr,GRID_cre_MWhyr,E_sys_MWhyr,Eal_MWhyr,Ea_MWhyr,El_MWhyr,Ev_MWhyr,Eve_MWhyr,Edata_MWhyr,Epro_MWhyr,Eaux_MWhyr,E_ww_MWhyr,E_hs_MWhyr,E_cs_MWhyr,E_cre_MWhyr,E_cdata_MWhyr,Qhs_sen_shu_MWhyr,Qhs_sen_ahu_MWhyr,Qhs_lat_ahu_MWhyr,Qhs_sen_aru_MWhyr,Qhs_lat_aru_MWhyr,Qhs_sen_sys_MWhyr,Qhs_lat_sys_MWhyr,Qhs_em_ls_MWhyr,Qhs_dis_ls_MWhyr,Qhs_sys_shu_MWhyr,Qhs_sys_ahu_MWhyr,Qhs_sys_aru_MWhyr,Qcs_sys_scu_MWhyr,Qcs_sys_ahu_MWhyr,Qcs_sys_aru_MWhyr,DH_hs_MWhyr,Qhs_sys_MWhyr,Qhs_MWhyr,DH_ww_MWhyr,Qww_sys_MWhyr,Qww_MWhyr,DC_cs_MWhyr,Qcs_sys_MWhyr,Qcs_MWhyr,DC_cre_MWhyr,Qcre_sys_MWhyr,Qcre_MWhyr,DC_cdata_MWhyr,Qcdata_sys_MWhyr,Qcdata_MWhyr,NG_hs_MWhyr,COAL_hs_MWhyr,OIL_hs_MWhyr,WOOD_hs_MWhyr,SOLAR_hs_MWhyr,NG_ww_MWhyr,COAL_ww_MWhyr,OIL_ww_MWhyr,WOOD_ww_MWhyr,SOLAR_ww_MWhyr,Qcs_sen_scu_MWhyr,Qcs_sen_ahu_MWhyr,Qcs_lat_ahu_MWhyr,Qcs_sen_aru_MWhyr,Qcs_lat_aru_MWhyr,Qcs_sen_sys_MWhyr,Qcs_lat_sys_MWhyr,Qcs_em_ls_MWhyr,Qcs_dis_ls_MWhyr,Qhpro_sys_MWhyr,Qcpro_sys_MWhyr,QH_sys_MWhyr,QC_sys_MWhyr,PV0_kW,GRID0_kW,GRID_a0_kW,GRID_l0_kW,GRID_v0_kW,GRID_ve0_kW,GRID_data0_kW,GRID_pro0_kW,GRID_aux0_kW,GRID_ww0_kW,GRID_hs0_kW,GRID_cs0_kW,GRID_cdata0_kW,GRID_cre0_kW,E_sys0_kW,Eal0_kW,Ea0_kW,El0_kW,Ev0_kW,Eve0_kW,Edata0_kW,Epro0_kW,Eaux0_kW,E_ww0_kW,E_hs0_kW,E_cs0_kW,E_cre0_kW,E_cdata0_kW,Qhs_sen_shu0_kW,Qhs_sen_ahu0_kW,Qhs_lat_ahu0_kW,Qhs_sen_aru0_kW,Qhs_lat_aru0_kW,Qhs_sen_sys0_kW,Qhs_lat_sys0_kW,Qhs_em_ls0_kW,Qhs_dis_ls0_kW,Qhs_sys_shu0_kW,Qhs_sys_ahu0_kW,Qhs_sys_aru0_kW,Qcs_sys_scu0_kW,Qcs_sys_ahu0_kW,Qcs_sys_aru0_kW,DH_hs0_kW,Qhs_sys0_kW,Qhs0_kW,DH_ww0_kW,Qww_sys0_kW,Qww0_kW,DC_cs0_kW,Qcs_sys0_kW,Qcs0_kW,DC_cre0_kW,Qcre_sys0_kW,Qcre0_kW,DC_cdata0_kW,Qcdata_sys0_kW,Qcdata0_kW,NG_hs0_kW,COAL_hs0_kW,OIL_hs0_kW,WOOD_hs0_kW,SOLAR_hs0_kW,NG_ww0_kW,COAL_ww0_kW,OIL_ww0_kW,WOOD_ww0_kW,SOLAR_ww0_kW,Qcs_sen_scu0_kW,Qcs_sen_ahu0_kW,Qcs_lat_ahu0_kW,Qcs_sen_aru0_kW,Qcs_lat_aru0_kW,Qcs_sen_sys0_kW,Qcs_lat_sys0_kW,Qcs_em_ls0_kW,Qcs_dis_ls0_kW,Qhpro_sys0_kW,Qcpro_sys0_kW,QH_sys0_kW,QC_sys0_kW
B1000,9928.533,1508.897,12071.165,10562.270,603.000,0.000,542.759,160.304,364.119,0.000,11.234,0.000,0.000,7.102,0.000,0.000,0.000,0.000,0.000,542.759,524.422,160.304,364.119,0.000,11.234,0.000,0.000,7.102,0.000,0.000,0.000,0.000,0.000,453.953,0.000,0.000,0.000,0.000,453.953,0.000,27.942,1.667,483.562,0.000,0.000,0.000,-19.389,-20.036,805.937,483.562,453.953,62.919,37.751,28.289,12.320,39.425,-37.548,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-6.870,-11.580,-10.226,-8.872,-17.096,20.451,-1.691,-0.186,0.000,0.000,521.314,39.425,0.000,238.910,62.360,141.645,0.000,39.116,0.000,0.000,3.795,0.000,0.000,0.000,0.000,0.000,238.910,204.005,62.360,141.645,0.000,39.116,0.000,0.000,3.795,0.000,0.000,0.000,0.000,0.000,1036.133,0.000,0.000,0.000,0.000,1036.133,0.000,47.417,4.011,1083.980,0.000,0.000,0.000,0.000,0.000,1806.633,1083.980,1036.133,34.395,20.637,15.054,126.231,403.940,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,264.652,0.000,0.000,0.000,0.000,1090.339,403.940
B1001,3674.660,781.844,4691.056,3909.213,223.000,0.000,210.024,62.297,141.503,0.000,5.320,0.000,0.000,0.905,0.000,0.000,0.000,0.000,0.000,210.024,203.799,62.297,141.503,0.000,5.320,0.000,0.000,0.905,0.000,0.000,0.000,0.000,0.000,156.116,0.000,0.000,0.000,0.000,156.116,0.000,9.707,0.484,166.307,0.000,0.000,0.000,-10.316,-4.061,277.179,166.307,156.116,23.298,13.979,10.468,4.493,14.378,-13.783,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-3.662,-6.250,-2.128,-1.743,-5.790,7.993,-0.548,-0.047,0.000,0.000,180.286,14.378,0.000,90.242,24.234,55.046,0.000,10.739,0.000,0.000,0.498,0.000,0.000,0.000,0.000,0.000,90.242,79.280,24.234,55.046,0.000,10.739,0.000,0.000,0.498,0.000,0.000,0.000,0.000,0.000,329.203,0.000,0.000,0.000,0.000,329.203,0.000,14.888,1.082,344.212,0.000,0.000,0.000,0.000,0.000,573.687,344.212,329.203,12.529,7.518,5.570,37.166,118.933,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,65.275,0.000,0.000,0.000,0.000,346.893,118.933
B1002,3424.903,728.701,4372.217,3643.514,208.000,0.000,195.754,58.063,131.885,0.000,4.942,0.000,0.000,0.864,0.000,0.000,0.000,0.000,0.000,195.754,189.948,58.063,131.885,0.000,4.942,0.000,0.000,0.864,0.000,0.000,0.000,0.000,0.000,151.395,0.000,0.000,0.000,0.000,151.395,0.000,9.491,0.480,161.365,0.000,0.000,0.000,-9.583,-3.643,268.941,161.365,151.395,22.031,13.219,9.755,4.133,13.226,-12.691,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-3.395,-5.818,-1.875,-1.602,-5.270,7.421,-0.490,-0.045,0.000,0.000,174.583,13.226,0.000,84.024,22.587,51.304,0.000,9.928,0.000,0.000,0.472,0.000,0.000,0.000,0.000,0.000,84.024,73.891,22.587,51.304,0.000,9.928,0.000,0.000,0.472,0.000,0.000,0.000,0.000,0.000,313.046,0.000,0.000,0.000,0.000,313.046,0.000,15.036,1.050,327.341,0.000,0.000,0.000,0.000,0.000,545.568,327.341,313.046,11.849,7.109,5.191,34.557,110.582,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,60.904,0.000,0.000,0.000,0.000,329.893,110.582
B1003,3287.114,699.388,4196.316,3496.930,199.000,0.000,187.850,55.727,126.579,0.000,4.718,0.000,0.000,0.826,0.000,0.000,0.000,0.000,0.000,187.850,182.306,55.727,126.579,0.000,4.718,0.000,0.000,0.826,0.000,0.000,0.000,0.000,0.000,146.757,0.000,0.000,0.000,0.000,146.757,0.000,9.218,0.458,156.434,0.000,0.000,0.000,-9.160,-3.378,260.723,156.434,146.757,21.123,12.674,9.342,3.918,12.538,-12.037,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-3.241,-5.571,-1.710,-1.516,-4.951,7.086,-0.459,-0.042,0.000,0.000,169.108,12.538,0.000,80.466,21.678,49.240,0.000,9.357,0.000,0.000,0.450,0.000,0.000,0.000,0.000,0.000,80.466,70.919,21.678,49.240,0.000,9.357,0.000,0.000,0.450,0.000,0.000,0.000,0.000,0.000,301.985,0.000,0.000,0.000,0.000,301.985,0.000,15.013,0.999,315.761,0.000,0.000,0.000,0.000,0.000,526.268,315.761,301.985,11.349,6.809,4.971,32.894,105.260,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,58.191,0.000,0.000,0.000,0.000,318.227,105.260
B1004,3425.040,728.732,4372.391,3643.659,208.000,0.000,195.812,58.065,131.890,0.000,4.997,0.000,0.000,0.860,0.000,0.000,0.000,0.000,0.000,195.812,189.955,58.065,131.890,0.000,4.997,0.000,0.000,0.860,0.000,0.000,0.000,0.000,0.000,150.368,0.000,0.000,0.000,0.000,150.368,0.000,9.366,0.475,160.209,0.000,0.000,0.000,-9.615,-4.174,267.016,160.209,150.368,22.005,13.203,9.755,4.309,13.790,-13.204,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-3.416,-5.818,-2.245,-1.724,-5.662,7.543,-0.538,-0.047,0.000,0.000,173.412,13.790,0.000,84.470,22.588,51.307,0.000,10.362,0.000,0.000,0.471,0.000,0.000,0.000,0.000,0.000,84.470,73.894,22.588,51.307,0.000,10.362,0.000,0.000,0.471,0.000,0.000,0.000,0.000,0.000,313.029,0.000,0.000,0.000,0.000,313.029,0.000,14.057,1.048,327.320,0.000,0.000,0.000,0.000,0.000,545.533,327.320,313.029,11.836,7.101,5.191,35.343,113.097,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,62.393,0.000,0.000,0.000,0.000,329.871,113.097
B1005,5584.569,1188.209,7129.237,5941.031,339.000,0.000,319.349,94.676,215.049,0.000,8.300,0.000,0.000,1.325,0.000,0.000,0.000,0.000,0.000,319.349,309.724,94.676,215.049,0.000,8.300,0.000,0.000,1.325,0.000,0.000,0.000,0.000,0.000,201.942,0.000,0.000,0.000,0.000,201.942,0.000,12.120,0.656,214.718,0.000,0.000,0.000,-15.860,-8.351,357.863,214.718,201.942,34.297,20.578,15.908,7.566,24.212,-23.018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-5.664,-9.497,-4.750,-3.107,-10.414,12.604,-1.118,-0.076,0.000,0.000,235.296,24.212,0.000,138.099,36.830,83.656,0.000,17.220,0.000,0.000,0.758,0.000,0.000,0.000,0.000,0.000,138.099,120.486,36.830,83.656,0.000,17.220,0.000,0.000,0.758,0.000,0.000,0.000,0.000,0.000,453.817,0.000,0.000,0.000,0.000,453.817,0.000,19.412,1.558,474.575,0.000,0.000,0.000,0.000,0.000,790.959,474.575,453.817,18.523,11.114,8.465,58.222,186.310,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,111.219,0.000,0.000,0.000,0.000,478.303,186.310
B1006,5176.183,1101.314,6607.894,5506.578,314.000,0.000,295.937,87.752,199.323,0.000,7.508,0.000,0.000,1.354,0.000,0.000,0.000,0.000,0.000,295.937,287.075,87.752,199.323,0.000,7.508,0.000,0.000,1.354,0.000,0.000,0.000,0.000,0.000,209.268,0.000,0.000,0.000,0.000,209.268,0.000,12.848,0.682,222.798,0.000,0.000,0.000,-14.575,-5.873,371.330,222.798,209.268,32.465,19.479,14.745,6.390,20.448,-19.572,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-5.180,-8.809,-3.116,-2.468,-8.296,11.276,-0.807,-0.069,0.000,0.000,242.277,20.448,0.000,127.107,34.136,77.538,0.000,15.084,0.000,0.000,0.756,0.000,0.000,0.000,0.000,0.000,127.107,111.675,34.136,77.538,0.000,15.084,0.000,0.000,0.756,0.000,0.000,0.000,0.000,0.000,450.784,0.000,0.000,0.000,0.000,450.784,0.000,19.290,1.555,471.411,0.000,0.000,0.000,0.000,0.000,785.685,471.411,450.784,17.548,10.529,7.846,52.266,167.252,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,91.897,0.000,0.000,0.000,0.000,474.958,167.252
B1007,4693.021,998.515,5991.091,4992.576,285.000,0.000,268.128,79.561,180.717,0.000,6.811,0.000,0.000,1.039,0.000,0.000,0.000,0.000,0.000,268.128,260.278,79.561,180.717,0.000,6.811,0.000,0.000,1.039,0.000,0.000,0.000,0.000,0.000,180.404,0.000,0.000,0.000,0.000,180.404,0.000,11.027,0.487,191.918,0.000,0.000,0.000,-13.212,-5.472,319.864,191.918,180.404,27.971,16.782,13.357,5.839,18.685,-17.876,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-4.703,-7.976,-2.931,-2.266,-7.634,10.242,-0.759,-0.050,0.000,0.000,208.701,18.685,0.000,115.182,30.950,70.301,0.000,13.652,0.000,0.000,0.585,0.000,0.000,0.000,0.000,0.000,115.182,101.251,30.950,70.301,0.000,13.652,0.000,0.000,0.585,0.000,0.000,0.000,0.000,0.000,393.327,0.000,0.000,0.000,0.000,393.327,0.000,16.856,1.123,411.091,0.000,0.000,0.000,0.000,0.000,685.152,411.091,393.327,15.003,9.002,7.108,47.316,151.412,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,84.345,0.000,0.000,0.000,0.000,414.248,151.412
B1008,5701.896,1213.169,7279.016,6065.847,346.000,0.000,325.906,96.665,219.567,0.000,8.395,0.000,0.000,1.279,0.000,0.000,0.000,0.000,0.000,325.906,316.231,96.665,219.567,0.000,8.395,0.000,0.000,1.279,0.000,0.000,0.000,0.000,0.000,199.118,0.000,0.000,0.000,0.000,199.118,0.000,11.912,0.625,211.655,0.000,0.000,0.000,-16.176,-7.854,352.759,211.655,199.118,34.471,20.682,16.246,7.509,24.029,-22.869,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-5.774,-9.694,-4.387,-3.014,-10.160,12.708,-1.090,-0.071,0.000,0.000,232.338,24.029,0.000,140.457,37.603,85.413,0.000,17.057,0.000,0.000,0.737,0.000,0.000,0.000,0.000,0.000,140.457,123.017,37.603,85.413,0.000,17.057,0.000,0.000,0.737,0.000,0.000,0.000,0.000,0.000,451.383,0.000,0.000,0.000,0.000,451.383,0.000,19.309,1.497,471.977,0.000,0.000,0.000,0.000,0.000,786.629,471.977,451.383,18.587,11.152,8.645,58.402,186.887,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,112.678,0.000,0.000,0.000,0.000,475.731,186.887
B1009,0.000,938.785,2816.357,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
B1010,843.977,1298.425,1298.427,1220.521,488.000,0.000,17.644,2.535,8.747,0.000,6.061,0.000,0.000,0.300,0.000,0.000,0.000,0.000,0.000,17.644,11.282,2.535,8.747,0.000,6.061,0.000,0.000,0.300,0.000,0.000,0.000,0.000,0.000,59.537,0.000,0.000,0.000,0.000,59.537,0.000,3.506,0.758,63.802,0.000,0.000,0.000,-9.486,-1.188,106.337,63.802,59.537,230.801,138.481,137.231,3.335,10.673,-10.283,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2.530,-6.640,-0.530,-0.583,-3.060,7.223,-0.363,-0.027,0.000,0.000,202.283,10.673,0.000,17.424,1.278,4.408,0.000,11.639,0.000,0.000,0.318,0.000,0.000,0.000,0.000,0.000,17.424,5.686,1.278,4.408,0.000,11.639,0.000,0.000,0.318,0.000,0.000,0.000,0.000,0.000,108.300,0.000,0.000,0.000,0.000,108.300,0.000,5.589,1.459,114.995,0.000,0.000,0.000,0.000,0.000,191.658,114.995,108.300,304.772,182.863,182.683,54.205,173.457,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,126.983,0.000,0.001,0.000,0.000,290.959,173.457
B1011,2138.260,521.528,3129.161,2565.912,329.000,0.000,1275.018,20.314,119.648,0.000,10.172,1123.869,0.000,1.014,0.000,0.000,0.000,0.000,0.000,1275.018,139.962,20.314,119.648,0.000,10.172,1123.869,0.000,1.014,0.000,0.000,0.000,0.000,0.000,85.197,0.000,0.000,0.000,0.000,85.197,0.000,4.603,0.563,90.363,0.000,0.000,0.000,-18.114,-17.609,150.604,90.363,85.197,32.441,19.464,15.448,11.163,35.723,-32.668,0.000,0.000,0.000,315.962,1011.078,-1011.482,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-6.488,-10.497,-11.418,-4.265,-17.906,14.762,-2.956,-0.099,0.000,0.000,109.827,1046.801,0.000,178.744,8.172,27.019,0.000,14.813,128.296,0.000,0.634,0.000,0.000,0.000,0.000,0.000,178.744,35.191,8.172,27.019,0.000,14.813,128.296,0.000,0.634,0.000,0.000,0.000,0.000,0.000,222.661,0.000,0.000,0.000,0.000,222.661,0.000,10.121,1.530,233.612,0.000,0.000,0.000,0.000,0.000,389.353,233.612,222.661,17.605,10.563,8.221,61.438,196.600,0.000,0.000,0.000,0.000,36.256,116.019,-115.466,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,126.181,0.000,0.000,0.000,0.000,237.159,312.531
B1012,5401.841,2813.459,8440.377,5626.918,312.000,0.000,887.720,232.836,316.838,0.000,36.829,0.000,298.902,2.315,0.000,0.000,0.000,0.000,0.000,887.720,549.674,232.836,316.838,0.000,36.829,0.000,298.902,2.315,0.000,0.000,0.000,0.000,0.000,118.452,0.000,0.000,0.000,0.000,118.452,0.000,5.846,1.294,125.592,0.000,0.000,0.000,-59.674,-84.058,209.320,125.592,118.452,52.248,31.349,14.632,44.916,143.731,-124.553,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-20.960,-34.292,-57.572,-11.728,-78.533,46.020,-18.877,-0.301,1358.643,0.000,1515.584,143.731,0.000,262.162,71.628,104.410,0.000,48.267,0.000,36.766,2.425,0.000,0.000,0.000,0.000,0.000,262.162,176.039,71.628,104.410,0.000,48.267,0.000,36.766,2.425,0.000,0.000,0.000,0.000,0.000,482.157,0.000,0.000,0.000,0.000,482.157,0.000,20.399,5.437,507.993,0.000,0.000,0.000,0.000,0.000,846.655,507.993,482.157,21.521,12.913,6.534,262.298,839.353,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,351.761,0.000,0.000,167.119,0.000,674.743,839.353
B1013,2335.104,502.172,3013.037,2510.864,143.000,0.000,135.108,40.013,90.886,0.000,2.683,0.000,0.000,1.526,0.000,0.000,0.000,0.000,0.000,135.108,130.899,40.013,90.886,0.000,2.683,0.000,0.000,1.526,0.000,0.000,0.000,0.000,0.000,133.989,0.000,0.000,0.000,0.000,133.989,0.000,8.621,0.806,143.416,0.000,0.000,0.000,-4.582,-4.317,239.026,143.416,133.989,18.996,11.398,6.716,2.781,8.899,-8.525,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1.613,-2.784,-1.982,-2.147,-3.594,4.931,-0.300,-0.073,0.000,0.000,154.813,8.899,0.000,58.805,15.565,35.356,0.000,7.596,0.000,0.000,0.776,0.000,0.000,0.000,0.000,0.000,58.805,50.921,15.565,35.356,0.000,7.596,0.000,0.000,0.776,0.000,0.000,0.000,0.000,0.000,267.129,0.000,0.000,0.000,0.000,267.129,0.000,15.860,1.695,280.125,0.000,0.000,0.000,0.000,0.000,466.875,280.125,267.129,10.371,6.223,3.574,26.633,85.226,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,50.908,0.000,0.000,0.000,0.000,282.376,85.226
B1014,434.616,2716.352,5432.699,521.539,1042.000,0.000,68.283,2.451,7.569,0.000,34.711,0.000,0.000,0.645,0.000,0.000,22.907,0.000,0.000,45.376,10.020,2.451,7.569,0.000,34.711,0.000,0.000,0.645,0.000,0.000,22.907,0.000,0.000,50.952,0.000,0.000,0.000,0.000,50.952,0.000,2.682,1.500,55.133,0.000,0.000,0.000,-61.015,-0.835,91.889,55.133,50.952,0.000,300.219,293.135,0.000,61.849,-60.376,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,375.274,0.000,0.000,0.000,-18.448,-41.164,-0.454,-0.311,-18.902,41.475,-1.406,-0.067,0.000,0.000,355.352,61.849,0.000,214.632,0.630,1.994,0.000,33.204,0.000,0.000,1.024,0.000,0.000,191.358,0.000,0.000,34.990,2.624,0.630,1.994,0.000,33.204,0.000,0.000,1.024,0.000,0.000,191.358,0.000,0.000,88.987,0.000,0.000,0.000,0.000,88.987,0.000,3.463,2.881,94.986,0.000,0.000,0.000,0.000,0.000,158.310,94.986,88.987,0.000,181.299,177.039,0.000,516.666,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,226.623,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,420.392,0.000,0.000,0.000,0.000,276.177,516.666
